st_code,dt_code,state,district,current_ac_cr,savings_ac_cr,deposit_cr,credit_cr,population,housing_loan_cr,con_durable_loan_cr,auto_loan_cr,education_loan_cr,cc_loan_cr,others_loan_cr
10,231,BIHAR,BHOJPUR,514.7,6624.8,11517.2,4414.9,4262064,629.9,9.8,227.3,44.6,28.5,1261.8
10,232,BIHAR,BUXAR,249.6,4305.8,6955.3,2678.7,2652070,271.2,3.2,89.7,24.3,22.3,748.9
10,215,BIHAR,DARBHANGA,667.1,8587.5,14850.8,6744.6,5920946,1021.3,18.7,312.8,91.5,54.6,1777.7
10,236,BIHAR,GAYA,1126.1,11091.8,20476.6,10286.6,6963510,1394.8,17.9,549.5,236.2,58.6,2143.9
10,217,BIHAR,GOPALGANJ,305.2,6521.3,9143.3,3486,3787299,245.7,10.8,140.7,24,38.2,785.3
10,238,BIHAR,JAMUI,273.2,3028.3,4786,1982.1,2829770,108.6,1.3,52.1,9.4,16.5,694.3
10,239,BIHAR,JEHANABAD,142,2693.6,4327.6,1595.9,1818879,169.3,5,56.1,17.6,10,463.3
10,233,BIHAR,KAIMUR,229.5,2800.1,4411,2382.6,2532972,153.2,2,77.2,19.8,17.3,595.5
10,212,BIHAR,KATIHAR,561.6,5456.5,8304,5508.7,4831083,556,14.3,128.9,40.5,19.4,1246.5
10,223,BIHAR,KHAGARIA,226.1,2649,4072.3,2210.2,2658172,123.5,2.7,57.9,16.5,14.8,582.3
10,210,BIHAR,KISHANGANJ,343.2,2536.3,3934.8,2615.1,2818302,190.2,3.1,63.6,21.9,19.9,657.3
10,227,BIHAR,LAKHISARAI,149.2,2154.9,3296.7,1327.9,1517498,96.5,2.6,34.4,13.8,6.4,430
10,213,BIHAR,MADHEPURA,281.5,2922.8,4226.9,2493.5,3253562,170.2,5.1,81,15.7,21.1,737.4
10,207,BIHAR,MADHUBANI,389.7,7082.1,10385.3,4512.2,6718944,499.5,13.9,145.5,66.2,52,1509.8
10,226,BIHAR,MUNGER,348.7,4354.9,8418.2,2523.8,2178324,245,7.2,94.2,22.9,18.9,1084.9
10,216,BIHAR,MUZAFFARPUR,1169.6,12391.1,23671.6,16126,7962314,2268.7,49.1,878.3,161.9,152.2,2668
10,229,BIHAR,NALANDA,528.9,7188.3,11848,4925.1,4710110,577.1,11.4,221.8,37.4,51.1,1101.5
10,237,BIHAR,NAWADA,262.5,4029.9,5837.2,2711.5,3544562,348,4.8,106.9,25.1,19.1,638.4
10,203,BIHAR,PASCHIMI CHAMPARAN,374.6,4922.1,7368.2,5241.9,6447878,382.4,9.4,162.2,42.3,51.4,1495
10,230,BIHAR,PATNA,9839,74558.9,173145.6,81653.2,8852137,15996.7,143.7,4497.9,808.2,574.8,13586.6
10,204,BIHAR,PURBI CHAMPARAN,604.9,8151.7,12148.3,8792.4,8223720,575.2,15.9,254.5,70.1,69.8,1871.2
10,211,BIHAR,PURNIA,812.9,5403.4,9161,8360.9,5349809,1140.2,11.6,460.7,65.4,42.8,1556.4
10,234,BIHAR,ROHTAS,547.4,6552.4,10515.4,4975.9,4634493,493.5,7.4,223.8,48.2,36.5,1210.3
10,214,BIHAR,SAHARSA,258.4,3394.4,5314.2,2991.9,3131855,250,7.4,93.7,25.1,12.3,906.2
10,221,BIHAR,SAMASTIPUR,593.9,7999.6,12486,6891.1,7040151,703.1,38.8,268.6,63.5,72.3,1599.1
10,219,BIHAR,SARAN,541.2,9898,15957.7,5678.7,6004072,493.2,25.1,206.4,44.5,34.5,1586.9
10,228,BIHAR,SHEIKHPURA,103.7,1572.1,2373.3,1022,1039223,88.6,0.5,33.2,9,9.6,260.5
10,205,BIHAR,SHEOHAR,50.1,1015.3,1246.3,747.8,1126968,54,9.7,20.6,3.7,10.6,159.2
10,206,BIHAR,SITAMARHI,346,5722.2,7976.4,4019.4,5438013,407.5,9.5,118.4,48.1,45.3,993.5
10,218,BIHAR,SIWAN,470.2,9559.6,14325.8,5921.5,5029348,434,22.1,240.7,41.5,50,981.7
10,208,BIHAR,SUPAUL,279.3,3372,4711.5,2789.7,3785742,177.5,10.6,87.4,19.9,26.3,938.1
10,220,BIHAR,VAISHALI,580.7,7878.6,12592.7,8843.5,6009192,786.3,36.4,270.6,62.7,56.4,1251.8
4,55,CHANDIGARH,CHANDIGARH,6801.8,38008.3,120400.5,90943.3,1225416,12593.3,86.1,3286.3,448,658,4780.5
22,719,CHHATTISGARH,BALOD,156.1,1843.7,3380.3,1513.2,1195990,220.5,3.9,70.5,8.7,4.9,385.1
22,721,CHHATTISGARH,BALODABAZAR,272.4,3138.9,5173.9,3414.4,2106402,521.8,6.7,183.5,14.3,13.2,419.8
22,716,CHHATTISGARH,BALRAMPUR,143.8,1368,2022.7,706.1,1087073,81,3,50.7,1.7,7.8,270
22,414,CHHATTISGARH,BASTAR,365.9,2511.8,5090,3518.6,1147069,434.2,7.2,352.6,24.2,9.8,1059
22,718,CHHATTISGARH,BEMETARA,127.5,1464.9,2257,1466.1,865234,164.5,1.7,54.1,5.2,4.1,189.3
22,417,CHHATTISGARH,BIJAPUR,61.6,602.7,864,542.6,366149,16.3,0.1,17.5,2.5,0.7,447.6
22,791,CHHATTISGARH,BILASPUR,1835.7,8151.5,25767.6,16575,474465,3838.9,34.9,1166.9,87.8,44.9,2321.3
22,416,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,174.5,1711.5,2533.6,2815.6,382517,74.9,0.8,50.5,5,1.2,475
22,412,CHHATTISGARH,DHAMTARI,283.8,2355.6,4237.3,3107.3,1119360,400.8,4.9,197.8,13.7,11.3,378.9
22,409,CHHATTISGARH,DURG,1582.7,10116.9,29954.5,16588.3,2513088,4039.9,40.6,1075.2,209.7,94.8,2305.9
22,720,CHHATTISGARH,GARIYABAND,104,925.6,1482.5,962.3,967051,79.8,3.9,44.9,3.2,6.3,199
22,406,CHHATTISGARH,GAURELA-PENDRA-MARWAHI,71.8,637.2,1127.3,655.6,2272422,58.9,2.3,38.3,3.7,2.4,175
22,405,CHHATTISGARH,JANJGIR-CHAMPA,287.9,2999.5,5505,3378.8,2808624,453.6,9.9,249.1,14.7,17.2,661.5
22,402,CHHATTISGARH,JASHPUR,246.3,2283.4,3554.1,1708.8,1191095,215.9,11.4,165.7,9.9,5,594.4
22,407,CHHATTISGARH,KABEERDHAM,238.1,1352,2249,1815.6,1423471,188.1,6.4,127.7,4.6,5,344.7
